term,kana,meaning
~からすると/~からすれば/~からして/~からしても,,＋から……\n「～からして」可用于举出极端例子。
~からといって~とは限らない,,部分否定
~からには,,＋からには
~から見ると,,表示判断的依据、立场。【名詞】＋からみると
~が/は~られます,,事物做主语的被动句 [名(事物)]が／は[动] (ら)れます。 此句型中，动作主体一般是不确定的人的群体，因此一般在句子中不出现。
~がちだ,,＋がちだ \n「～がちだ」按照二类形容词活用。多用于消极的情况。
~きれない,,「動詞ます形＋きれない」\n「動詞ます形去ます＋きる」
~くせに,,含有对对方不满的语气。\n【连体形】＋くせに
~くらい~/ぐらい【最低限度】,,概数
~くらいだ【强调程度】,,口语
~こそ,,强调
~こと,,忠告 书面
~ことから,,原因
~ことがあります,,[动(基本形／ない形)]+ことがあります \n1) [动(基本形)]+ことがあります：有时会发生某情况 \n2) [动(ない形)]+ことがあります：有时不做某事 \n否定形式不是“～ことがありません”
~ことがない,,＋ことが／はない\n「～ことはない」特有用法：没有必要做某事
~ことだ,,忠告 口语
~ことで,,助词「で」可用于表示原因等，若前项为动词或形容词小句时，就必须借助「こと」，构成「ことで」。
~ことと存じます,,小句（连体形式）＋ことと存じます\n「ことと存じます」：「ことと思います」的礼貌说法。多用于书信中。
~ことに,,＋ことに
~ことにします/ことにしました,,“我决定……” [动(基本形／ない形)]ことにします／ことにしました 表示说话人自己决定实施某行为时。\n～ことにします：当场下的决心\n～ことにしました：已经下定的决心
~ことになりました,,[动(基本形／ない形)]ことになりました 表示由于某种外在的原因，导致某事定下来。\n为了淡化个人意志，用“ことになります”表达个人的决定。
~ことはない,,＋ことが／はない\n「～ことはない」特有用法：没有必要做某事
~こ伴って~,,＋に伴って\n伴随着某个重大事件连带发生了另外的事件
~こ至るまで,,＋に至るまで\n前面常与「～をはじめ」「～から」「～はもちろん」等呼应使用。
~ごとに,,每……
~さえ,,极端
~さえ~ば,,条件 最低
~させていただきます,,用于礼貌地表达自己的动作。礼貌程度高于“お／ご～します”。
~させてください,,动（さ）せてください：请求别人允许自己做某事。 \n提示：一般说话人不出现在句子中。
~ざるをえない,,＋ざるをえない（「する」→「せざるをえない」）\n根据客观现实情况，多用于书面语
~し、~から、~,,并列 原因
~しか~(否定),,“只有……”，[名]しか＋否定形式　表示限定。\n～しか～ない：带有主观感情色彩。
~しかない,,＋しかない
~し，~し,,[小句1]し、[小句2]し、[小句3]　[罗列并列事项][罗列原因]小句1、2的主语“が”多用“も”替换。\n“し”前面可以是简体形/敬体形。表示理由时，后一个“し”可换成“から”，意思不变。“し”也可以单独使用；单独使用表示理由时，暗示还有其他的理由。
~じゃって,,彻底完成
~じゃないかって,,带有不满的语感，因此使用受到场景的限制。
~じゃないです,,即「～じゃありません」的另外一种形式，多用于口语。
~じゃん/~じゃない/~じゃないの/~じゃないか,,确认
~すら,,极端
~ずつ,,表示等量分配或等量反复
~ずにはいられない,,＋ずにはいられない／ないではいられない\n＜「する」→「せずにはいられない」＞
~せい/~せいで/~せいか,,原因 消极
~そうです [传闻],,[小句(简体形)]そうです　[传闻] “～そうです”没有过去、否定和疑问的形式。\n表示消息来源时用“～によると”
~そうです [样态] [推测],,[动/形]そうです \n接续形式：动词连用形/形1去“い”/形2词干＋そうです \n1)“～そうです”前接形容词时，通常表示“样态”，即根据某对象的外观印象，推测其性质。 \n2)“～そうです”前接表示活动或变化的动词时，通常表示某事发生前的征兆，即推测某事会发生。 \n特例：なさそうです/よさそうです \n否定形式：动 + そう + にも／に／も + ありません; 形1/形2 + そうではありません
~ぞ,,表示提醒对方或说话人的强烈决心。多男性所用。
~たあげく(に),,结果 消极
~たところです,,[动]たところです：表示动作或事件刚刚结束（处于“刚刚结束”的阶段）。
~たばかりです,,[动]たばかりです：表示动作或事情刚刚结束。相比～たところです可用于动作结束后经过了较长一段时间的事态
~たびに,,＋たびに
~ために/~ための,,原因
~ために，~ [原因、理由],,([小句1(简体形)]/[名]＋の/[形2]＋な)＋ために、[小句2] \n1) 多用于书面语或比较郑重的场合； \n2) 小句1多为非意志性的事态或状态。
~ために，~ [目的],,([小句1(基本形)]/[名]＋の)＋ために、[小句2] 表示目的，前后两个小句的主语相同。
~たら,,假定完了的条件\n②意外的发现\n③继起\n④完了\n「～たら（どうですか）」：提议、建议
~たらいい,,建议
~たら，~,,[小句1]たら、[小句2]　用于表示假定条件。 \n用法1：假定条件（在不知道前项是否成立的情况下，假设其成立），“要是……的话……就” \n用法2：既定条件（在知道前项肯定成立的情况下）“在……之后” \n接续： “た”→“たら” \n动词否定：未然形+否定+たらー＞なかったら\n“～ます”＋“～たら”→“~ましたら” \n“～です”＋“～たら”→“~でしたら” \n一类形容词后续“～たら”时，不用敬体形。\n过去否定形式～で(は)なかった->でなかったら
~たりする,,暗示其他
~た結果,,结果
~だからこそ,,「から」前为简体句。
~だけ,,“这就是全部，不再有其他”，[名]だけ 表示客观的限定。 \n接续：名词／数量词+だけ
~だけあって,,动词（简体形式）／形容词（简体形式）／名词＋だけあって\n二类形容词－な＋だけあって
~だけには,,表示“限定+对象/目的地+强调”
~だらけ,,＋だらけ\n本义是某种不好的东西覆盖于表面
~ちゃった,,为33课～てしまった的口语形式，语义基本相同，但令人不愉快的语气更弱。
~ちゃって,,彻底完成
~っけ/~だっけ,,确认
~ったら,,「ったら」接在名词或句末之后，表示对某人的责难的语气，用于非常随便的场合，有时说成「たら」。类似的表达有「ってば」。
~つつ,,＋つつ\n表转折时多用「～つつも」
~つつある,,＋つつある
~つもりです,,[动(基本形／ない形)]つもりです 表示说话之前已经形成的意志、打算。 \n～ないつもりです：我打算不做…… \n～つもりはないです／つもりはありません：我不打算做……，是强烈的拒绝语气。
~て/~ないで,,[动]て／[动]ないで 表示祈使或轻微命令，用于关系亲密的人之间。
~て~/~ないで~,,[小句1]て／ないで＋[小句2]　　[伴随状态] 表示进行小句2的动作主体处于小句1的状态 “～ないで”也可以说成“～ずに”，“～ずに”多用于书面语。
~てあげます,,[动]てあげます Aは／がBに～てあげる 　“A为B做某事” A：行为主体（提供帮助的人） B：受益人 ~：A的行为
~てあります,,[他动]てある 表示有意进行的动作结果的存续状态。按照动1活用。 不出现意志、请求、祈使、命令等形式。
~ていきます/きました [持续] [变化],,用法：1) 空间移动，2) 时间移动 \nてくる：由基准时间点之前向基准时间点推移、变化。“由过去到现在”。 \nていく：由基准时间点向基准时间点之后推移、变化。“由现在到将来”。
~ていきます/きます,,[动]ていきます／きます　\n实义动词，表示独立的动作。\n1) て前接表示独立动作的动词: 食べる、買う、見る、休む。此时，て形表示两个相继发生的动作。\n2) て前面的动词表示动作主体的状况: 着る、穿く、かける、持つ、連れる。此时，て形表示伴随状态。\n补助动词，不表示独立的动作。\n1) 表示以说话人为起点，空间上的移动方向。前接表示移动的动词: 帰る、歩く、走る、泳ぐ、飛ぶ、乗る \n~ていく：由近及远，~てくる：由远及近
~ていただきます,,“もらいます”的自谦语形式
~ていただけますか [请求],,用于礼貌地请求别人为自己做某事。 “~ていただけませんか”比“~ていただけますか”礼貌程度高。
~ていただければありがたい,,尊他 请求
~ています [反复] [习惯],,[动]ています： [反复][习惯] 表示习惯时，“～ています”“～ます”都可以使用， 但句中出现表示时间起点的形式时，不用“～ます”。
~ています [结果状态],,[自动]ています 1）自动词表示动作，则“～ています”表示该动作正在进行。\n2）自动词表示变化，“～ています”表示结果的存续。
~ていらっしゃいます,,“～ています／～ていきます／～てきます”的尊他语。
~ているところです,,[动]ているところです：表示正在做的过程中（处于“正进行中”的阶段）。
~ておきます,,[动]ておく 在随便的口语中有时会缩略成：とく，均按照动1活用 \n1) 为了某个目的而事先做某事。[准备] \n2) 为了某个目的而做某事，并使其结果或效果留存下来。[留存]
~ており、~,,自谦
~ております,,“ています”的自谦语形式。
~てきました [出现],,表示某种状态的开始或出现，只限于前接非意志性动词。
~てきます,,在口语中，表示去别处做某事后再回到原处， “去去就来”。
~てくださいます,,“～てくれる”的尊他语。
~てくれ,,只用于上下或比较亲近的关系，男性专用
~てくれます,,[动]てくれます Aは／がBに～てくれる：表示“他人（A）为我或我方人员（B）做某事” A：提供帮助的人（动作主体） B：受益人（我或我方人员） ~：A的行为
~てしまいます,,[动]てしまいます \n1) 该动作所产生的结果是令人不愉快的事情。 \n2) 完成。（这种情况下，该动作一般是有意进行的）
~ては/~では,,消极
~てほしい,～に,[动]てほしい 表示对他人的愿望，希望他人做某事 \n当动作主体是自然、客观的事物时，主体后用助词“が” \n直接提出要求的表达方式，礼貌程度较低，不能直接对长辈和上级使用。
~てみます,,[动]てみる 表示尝试做某事。按照动2活用。
~てもみない,,前面多接「思う、考える」等词\n本意是“没有尝试什么”
~てもらいます,,[动]てもらいます “A从B处得到某项帮助/A由于B的行为而得到某种恩惠” A：受益人 B：行为主体（提供帮助的人） ~：B的行为
~ても，~,,“即使……也……，尽管……还是……”。[小句1]ても、[小句2]　表示逆接关系 \n用于“小句1”成立时“小句2”理应成立但事实上却没有成立。\n接续：动：“て／で”→“ても／でも” \n　　　形1：“て”→“ても” \n　　　形2／名词：“で”→“でも”
~てやる,,表示为他人做事，比「～てあげる」随便；\n② 表示自己的强烈的意志，只用于很随便的场合
~て仕方がない,,＋て仕方がない／てしょうがない
~て，~/~で，~ [原因、理由],,[小句1(动／形1)]て/[小句1(名／形2)]で、[小句2]　[原因、理由] 注意：小句2不可以是祈使句。 否定：ない→なくて
~で [原因、理由],,名＋で [原因、理由]
~である,,书面简体
~できなくはない,,「～なくはない」双重否定表婉转的肯定\n　类似表现还有「～ないことはない」「～ないものでもない」
~でございます,,ございます：“あります”更为礼貌的说法。 でございます：“です”更为礼貌的说法。
~でしかない,,「～しかない」前接名词\n意思同「～に過ぎない」。
~でしょう [推测],,[小句（简体形）]＋でしょう。  “～でしょう” 表示推测。“大概，也许。”
~でしょう? [确认],,[小句(简体形)]でしょう？ ①确认对方比自己更为熟悉的事情，读升调； ②当对方和自己意见不同，或叮问对方，读降调。
~でしょうか,,[小句(简体形式)]でしょうか：礼貌地对听话人表示疑问 接续： 1) 动／形1：简体＋でしょうか 2) 名／形2：简体去掉だ+でしょうか
~ですって,,「って」表示引用、反问的用法，用于表达说话人惊讶的语气。
~ですもの/~だもん,,口语中附于句尾，用于述说理由，带有抗议、不满、诉说、感叹、辩解等语气。 \n“～ですもの”的简体是“~だもの”，且于关系亲密的人之间。 \n“～だもの”→“～だもん”更随便，带有一种撒娇的语感，多为女性和孩子所用
~ではありませんか,,～もしかしたら 口语形式，一般与“~かもしれません”“～ではありませんか”等呼应使用，用于可能性较低的场合，表示“也许”“莫非”等意。
~でも [提示极端的例子],,[名]+でも：提示极端的例子，“就连……”
~でも [示例],,[名]でも　[示例] 用于举出几个选项中有代表性的一项。
~でもすれば,,多用于前接三类动词词干（动名词）\n也可前接一类、二类动词的ます形去ます形式。\n「でも」表示极端或举例，「～でもすれば」此处表示要是发生如此事情结果将非常严重，也可以和其他动词组合。
~といい,,建议 语气弱
~といい，~といい,,＋といい\n用于列举几个相同倾向的事实
~という~,,[名1]＋という＋[名2]：表示称谓，“叫做……”
~ということだ/~とのことだ,,传闻
~ということは，~ということだ,,「～ということだ」表示解说或逻辑结果\n被解说的事项可用「～ということは」引出。
~というふうな/~というふうに,,举例
~というものは/~ということは,,本质
~というような/~というように,,举例
~というより(も),,后项常跟「むしろ、～ほうが」呼应
~といえば,,后续评价
~といったもの,,表示列举
~といったような/~といったように,,举例
~といっても,,转折
~といっても過言ではない,,简体小句＋といっても過言ではない
~といつも,,每当……就……
~とおりだ,,＋とおり\n【名詞＋の】＋とおり\n【名詞】＋どおり
~とか~とか,,[名1]とか[名2]とか　[小句1]とか[小句2]とか 用于列举同样性质的几个例子。“～とか～”只用于口语
~ところがある,,＋ところがある\n是一种比较婉转的表达
~ところです,,[动(基本形)]ところです：表示动作即将进行（处于“即将做”的阶段）。
~とされる,,书面
~としても，~,,［小句（简体形式）］＋としても\n［二类形容词／名词＋だ］＋としても
~とすれば/~とすると/~としたら,,「基本形」＋とすると／とすれば／としたら\n「基本形／名詞」＋となると／となれば／となったら
~となると,,「基本形／名詞」＋となると
~とはいうものの,,前接连体形式：\n［二类形容词］＋な／である＋もの\n［名词］＋である＋ものの\n［简体小句／名词］＋とはいうものの\n表示转折，相当于「けれども」。\n与「とはいっても」相似，也可单独使用。
~とは比べものにならない,,比较 要明示对象
~とまでいわれた,,同样的助词还有「でも」「さえ」， 分别添加举例和极端的意思。
~と会います,,[名]と会います “～に”：表示单向性的行为对象 “～と”：表示双向性的行为对象
~と同時に,,［动词基本形／一类形容词］＋と同時に\n［名词／二类形容词］＋である＋と同時に\n※前后主语不同也可以使用
~と思います,,[动(意志形)]＋と思います 用法：将自己要做某事的意志告诉听话人。1) 是表示个人意志的表达方式，通常只能用于第一人称。 2) 问句可用于第二人称，用于直接询问对方的意志。
~と思える/~とおもわれる,,主观判断
~と思ったら，~,,＋（か）と思ったら
~と思っています,,[动(意志形)]+ と思っています 用法：表示某种意志持续了一段时间。可用于第三人称。
~と，~,,[小句1(动词基本形／ない形)]と、小句2：“一……就……” 1) 表示恒常性状态、真理、反复状态、习惯； 2) 表示由于某种行为而发现了新的情况。 “～と”的后面不会出现表示意志，希望，命令，请求等表达方式。
~どころか,,＋どころか
~どころではない,,＋どころではない\n【二类形容词词干／名词】＋どころではない\n由于客观原因，否定语气
~な [禁止],,[动(基本形)]+な：禁止 放在句尾　用于禁止听话人做某事 其语气的强硬程度与动词命令形相当，较粗鲁。
~ないかぎり/~ないことには/~なくては,,只要不……就……
~ないことはない,,［動詞否定形］＋ないことはない
~ないと,,「～ないといけない」等形式省略了后半句的说法
~ないと/~ないといけません,,表示必须或义务，“不……不行，不得不……”。 ないと是“~ないといけません／～ないといけない”的省略形式
~ないものでしようか/~ないでしようか,,「～ないものでしょうか」是希望某事得以实现的否定疑问句。\n「～ないでしょうか」也同样表示希望得到必要的东西，但不可以用于单纯询问是否存在某事物。
~ながら,,“一边…一边…” 动＋ながら 接续：连用形＋“ながら”。 后面的动作是主要动作，前面的动作是次要动作。
~ながら(も),,［动词ます形去ます］＋ながら（も）\n［一类形容词］＋ながら（も）\n［名词／二类形容词］（＋であり）＋ながら（も）
~なければ/~なければなりません,,“必须……，不得不……” なければ：“～なければなりません／～なければならない”的省略形式
~なさい,,动词连用形＋“なさい” 多用于长辈对晚辈、老师对学生、上司对下属下命令；语气比命令型客气。
~なさいませんか,,「なさる」【他一】＝「する」的尊他语形式。\n「なさった」「なさって」「なさらない」「なさいます」「なさい」
~なしで,,「ない」的文言形态，接在名词之后表示没有或缺乏某事物。\n常用「なしに」「なしで」的形式，前者表示状态，后者表示方法手段。
~なしに(は)/~なしで(は)/~なくして,,「Aなしには／なしでは／なくしてB」表示A是实现B的必不可少的条件。
~などという,,举例
~なら~、~なら~,,提及
~なら【主题】,,「なら」原本表示假定，也可以表示接过他人的话题。\n此外也可以用于提出一个代替的方案。一般不能用于否定。
~ならでは(の),,［名詞］＋ならでは（の）\n现在一般都以「～ならではの」的形式出现，偶尔也有「～ならでは～ない」的形式，意思相同。
~ならぬ,,断定助动词「なり」＋否定助动词「ぬ」＝「～ではない」\n②动词「なる」＋否定助动词「ぬ」＝「～ならない」
~ならびに~,,「～ならびに（並びに）」是书面语\n※ 不能接不同类的事物（如：「天と地」不能说成「天ならびに地」）
~なら，~,,[小句1(简体形)]なら、[小句2] \n根据对方的言谈或现场情况，陈述自己的意见或想法，以及向对方提出请求或忠告 \n接续：简体形式＋なら; 形2／名词：去掉简体形式中的だ＋なら
~なりに,,［名詞］＋なりに／なりの
~なればなるほど,,［动词／一类形容词ば形＋基本形＋ほど］\n［名词／二类形容词词干－であれば＋ある＋ほど］
~なんて,,加强语境语气
~なんていうもの,,相当于「などというもの」「などのようなもの」在口语中比较随便的说法，用于从诸多事物中举例说明。
~なんてことはない,,只是在「～ことはない」前面加上「なんて」
~に [用途] [基准],,[名]に 1) 表示用途时，前面是具体说明用途的名词，后面多是“使う”等动词； \n2) 表示基准时，前面的名词是基准，后面一般是表示评价的形容词。
~に(も)なりかねない,,＋かねない
~にあたって,,＋にあたって\n類似表現：「～に際して」\n表示在某个特殊的机会和情况下……。
~におかれましては,,＋におかれましては\n用于表示主体，尊他语表达方式，常用于书信中。
~にしたがって,,＋にしたがって\n动词「従う（したがう）」
~にしても/~にしろ/~にせよ,,＋にしても／にしろ／にせよ
~にすぎない,,［動詞简体形／名詞］＋にすぎない
~にすら,,助词「に」＋表示极端的「すら」
~につれて,,和「～にしたがって」意思相近，有时可以互换。\n但「にしたがって」倾向于因果关系，「につれて」倾向于自然而然的变化。
~には~がある,,原因
~には~とある,,「～には［引用内容］とある」表示引用书或文章中记载着的内容，书面语。
~にほかならない,,＋にほかならない\n表达说话人强烈的断定语气。
~にも,,～にも　“未来时间名词＋に”后续表示强调的助词「も」
~にもかかわらず,,＋にもかかわらず\n【名詞／形動】（－である）＋にもかかわらず
~によって,,[名(事物)]は ~によって[动] (ら)れます。 在事物做主语的被动句里，当动作主体是特定的人时，用“～によって”来表示。
~による/~によって【方法、手段】,,方法手段 原因
~によると,,表示消息来源时用“～によると”
~によれば,,相当于「～によると」表示传闻出处、信息的来源
~にわたる,,＋にわたって／にわたる\n用于突出其范围之广、时间跨度之大。
~に先立って,,＋に先立って／に先立つ\n多用于在某事开始之前事先做准备
~に加え(て),,＋に加え（て）
~に反して，~,,＋に反して（前面常用「予想、期待、意志」等与想法、思考相关的名词搭配使用）
~に合う~,,＋に合う
~に応じた/~に応じて,,＋に応じた／に応じて\n有时可与「によって」互换
~に決まっている,,＋に決まっている\n【二类形容词／名词】＋に決まっている\n表示说话人很确定、很有自信的判断
~に相違ない,,推测 非100%确信
~に終わる,,＋に終わる\n用于某件事的结果事与愿违的情况\n【名詞】＋のうちに終わる 则用于积极的场合
~に至る,,＋に至る\n※ 用于书面语。
~に違いない,,推测 非确信
~に関する,,语气比「について」强
~に関わる,,＋に関わる\n多用于重要、重大的事情
~に際して,,＋に際して
~に面した,,「～に面する」表示建筑物等的地理位置
~のが~です,,当谓语是表示感情或擅长不擅长的形容词（好きです、嫌いです、苦手です、上手です、下手です）时，主语要用助词“が”来表示。
~のが見えます/~のが聞こえます,,某种景象映入眼帘/某种声音传入耳朵 [小句(简体形)]+の+が＋見えます／聞こえます \n小句：形2词干＋な＋の; 形1+の; 形2+な＋の
~のために，~ [原因、理由],,[名]＋の＋ために、[小句2] \n1) 多用于书面语或比较郑重的场合； \n2) 小句1多为非意志性的事态或状态。
~のために，~ [目的],,[名]＋の＋ために、[小句] 表示目的，前后两个小句的主语相同。
~のだ,,理由说明 直接断定
~のだろう,,理由说明 推测语气
~のだろうか,,疑问
~のではないでしょうか [婉转陈述意见的表达],,～のではないでしょうか：是婉转陈述意见的表达方式。“不是…吗？”。 \n否定+疑问，表达的是一种委婉的肯定， 相当于“～と思います”，但更加委婉。 \n简体形式是：“～んじゃない？”
~ので，~,,[小句1]+ので+[小句2] 用于客观叙述某事的原因、理由。接续：简体／敬体+ので，前接简体较多；动词／形1简体＋ので；名词／形2简体（だ→な）＋ので；
~のに [用途] [基准],,[动(基本形)]＋の＋に \n1) 表示用途时，前面是具体说明用途的名词，后面多是“使う”等动词； \n2) 表示基准时，前面的名词是基准，后面一般是表示评价的形容词。
~のに対して,,对比
~のに，~,,“明明……却，偏偏……”。 [小句1(简体形)]のに、[小句2]　[逆接] \n逆接：前项与后项是有矛盾的。 表示在小句1的情况下，发生小句2的情况不符合常识常理， \n接续：[小句(简体形)]＋のに \n[名词／形2な形]＋のに
~のは~です,,小句（动词简体形）＋の＋は[形]です。动词小句加形式名词“の”使之名词化，表示“做某动作”之意。 以上名词化形式作主语，而谓语是表示性质、状态的形1、形2时，主语用“は”表示。
~のは間違いない,,确信
~のほう,,「ほう」本来表示方向，方位，在日语中借以避免直接指某事物，用于比较客气的场合。
~のまま，~,,[名]＋のまま、小句 表示将理应改变的某状态保持着去进行另外的动作。
~のみ,,「小句（简体形式）＋のみ」\n「名詞＋のみ」
~のみならず,,【小句（简体形式）】＋のみならず
~のもと(で),,在某种条件、支配关系、影响关系以及状况之下等
~のようです [推測],,[名]＋のようです 表示根据说话人感知的某种情况进行推测，“好像，似乎“。
~のような味/においがします,,感觉到某种味道或气味，用法中的助词“が”和动词“する”，不能随意换用“を”和“ある”。 \n还可以是 \n“味／におい／声／音／感じ”がする \n“頭痛／寒気／吐き気／眩暈（めまい）”がする
~のを~,,小句（动词简体形）＋の＋を[动]。 这种名词化形式做宾语时，“の”和“こと”可以互换。 表达信息内容时，用“こと”；表示某动作时，用“の”。
~の折(に),,＋の折（に）\n【连体形】＋折（に）\n属于美化语
~の時，~,,“……的时候” 名词＋の＋時
~の間,,＋の間
~は~という~です,,[名1]は[名/小句]+という +[名2]です。用于对名词1下定义或做解释。[小句]可以是命令形、简体形、简体形+な等形式。\n「という」后面的[名2]多为“意味（意思）”，也可是其它名词
~は~に~られます,,受害被动句 [名1]は[名2]に[动] (ら)れます。 动作主体的动作并不直接作用于主语，但主语由于此动作而间接承受了某不良影响。原主动句中不存在的名词或名词短语，成为被动句的主语。
~は~に~を~させます,,他动词的使役句 [名1(使役主体)]は[名2(动作主体)]に[名3(动作的宾语/直接作用点)]を[他动]（さ）せます。
~は~に~を~られます,,持有者被动句 [名1 物主]は[名2 动作施加者]に[名3 名1的所有物]を[动] (ら)れます。 句型表示该事物[名3]的持有者[名1]，由于动作主体[名2]的某动作，而遭受了某种麻烦或损失。
~は~に~をくれます,,AはBに～をくれます。“A给B~”（B是“我”或“我方人员”） 物/所有权“由外向内”移动  别人给说话人(一方)的人某物
~は~られます,,直接被动句[人2 主语]は([人1 动作施加者]に)[动] (ら)れます。 主动句中的宾语（动作对象），挪到被动句中作主语。 被动句中，主语承受了动作施加者的某个动作或影响，是客观叙述，不带感情色彩，动作主体（动作施加者）用“に”表示。
~は~を~させます,,自动词的使役句 [名1(使役主体)]は[名2(动作主体/被使役者)]を[自动]（さ）せます。
~はずがありません,,～はずが（は）ないです。 “不可能…”。 \n“～はずです”的否定形式，表示根据某种理由做出某种否定性的推断。
~はずです,,[小句(简体形)]はずです。 简体形：はずだ。 “应该是……” \n表示说话人根据某种理由，做出某种合情合理的推断 \n接续：[小句(简体形)/名词＋の/形2词干＋な]＋はずです。 \n可以用于： \n1) 说话人经历过但记忆不准确的事情； \n2) 说话人认为确实如此，但和实际不一致的情况。
~はもちろん,,先举出一个程度轻的事物，表示对其他事物则更是不必说了之意。
~ば~ほど,,“越……越……” 某性质的程度与其相关的动作、性质，成正比例关系。\n有五种接续方式
~ばいい,,建议
~ばかり~,,“光、净、只……” [名]＋ばかり＋[动]：表示所列举的事物全部相同
~ばかりいます,,“老是，总是，光……，净……” [动(て形)]＋ばかり＋いる：表示总是发生同样的事情或总是进行同样的动作[反复]
~ばかりだ,,消极
~ばかりで(は)なく~,简体形式,/名词＋ばかりで（は）なく」
